,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop
178,Taiwan,868,+6,7 ,,766,+10,95,,36,0.3
179,Bhutan,848,+5,1 ,,605,+22,242,,"1,092",1
180,Papua New Guinea,834,,9 ,,755,,70,,92,1.0
181,Seychelles,746,,2 ,,563,,181,,"7,560",20
182,Bermuda,683,,12 ,,598,,73,6,"10,989",193
183,Faeroe Islands,650,+1,1 ,,644,+2,5,,"13,275",20
184,Saint Lucia,621,,8 ,,329,,284,1,"3,373",43
185,Mauritius,556,,10 ,,518,,28,,437,8
186,St. Vincent Grenadines,540,+46,2 ,+1,119,+1,419,2,"4,859",18
187,Tanzania,509,,21 ,,183,,305,7,8,0.3
188,Cambodia,441,+2, ,,386,,55,,26,
189,Isle of Man,432,,25 ,,354,,53,1,"5,066",293
190,Cayman Islands,380,,2 ,,330,,48,1,"5,745",30
191,Caribbean Netherlands,360,,3 ,,244,,113,,"13,659",114
192,St. Barth,251,,1 ,,172,,78,,"25,369",101
193,Antigua and Barbuda,189,,6 ,,156,,27,1,"1,921",61
194,Brunei ,174,,3 ,,169,,2,,396,7
195,Grenada,139,,1 ,,129,,9,,"1,232",9
196,British Virgin Islands,114,,1 ,,95,,18,,"3,757",33
197,Dominica,110,, ,,102,,8,,"1,526",
198,Timor-Leste,52,, ,,49,,3,,39,
199,New Caledonia,44,, ,,43,,1,,153,
200,Saint Kitts and Nevis,35,, ,,33,,2,,655,
201,Falkland Islands,32,, ,,27,,5,,"9,052",
202,Greenland,30,, ,,29,,1,,528,
203,Vatican City,27,, ,,15,,12,,"33,666",
204,Solomon Islands,17,, ,,10,,7,,24,
205,Western Sahara,10,,1 ,,8,,1,,17,2
206,Wallis and Futuna,4,, ,,1,,3,,359,
207,Micronesia,1,, ,,,,1,,9,
208,China,"88,454",+118,"4,635 ",,"82,432",+32,"1,387",61,61,3
209,"96,128,715","+123,775","2,052,478","+3,482","68,786,449","+154,817","25,289,788","111,917","12,332.4",263.3,
